Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response
1950,0,0,16813.0,0,0,1374192000,49,4,8,11,12,2,13,1,2,0,3,7,1,0,0,0,0,0,0
1963,2,0,64191.0,0,1,1358812800,30,420,15,186,151,38,15,3,5,3,13,3,0,0,0,0,0,0,0
1971,1,2,71969.0,0,1,1350345600,59,1000,0,76,0,0,10,3,3,4,9,8,0,1,0,0,0,0,0
1968,1,2,29187.0,1,0,1368057600,43,26,0,6,0,0,2,1,1,0,3,8,0,0,0,0,0,0,0
1969,0,2,4428.0,0,1,1380931200,0,16,4,12,2,4,321,0,25,0,0,1,0,0,0,0,0,0,0
1991,0,1,89891.0,0,0,1365984000,17,412,22,132,59,28,183,1,11,6,8,4,0,0,1,0,0,0,0
1961,0,0,82014.0,0,0,1345420800,48,980,37,265,35,163,31,1,3,6,12,6,0,0,0,0,0,0,1
1953,0,1,48794.0,1,1,1403740800,97,25,0,11,3,0,15,1,1,0,3,4,0,0,0,0,0,0,0
1978,0,2,77583.0,0,0,1391990400,93,372,23,384,250,12,108,1,4,5,9,2,0,0,0,1,0,0,0
1966,2,1,33564.0,0,1,1403568000,51,61,0,3,0,0,7,1,1,1,3,5,0,0,0,0,0,0,0
1959,0,1,38285.0,2,1,1403568000,96,2,0,5,2,0,1,1,0,0,3,2,0,0,0,0,0,0,0
1964,1,3,78825.0,0,0,1347580800,35,483,74,114,169,37,18,1,5,10,13,3,0,0,0,0,0,0,1
1968,0,0,36065.0,1,1,1364688000,54,18,7,34,10,2,3,3,3,0,3,8,0,0,0,0,0,0,0
1992,3,0,15253.0,1,0,1382918400,13,1,3,3,8,1,13,2,1,0,3,7,0,0,0,0,0,0,0
1966,2,2,57183.0,1,1,1363651200,51,464,5,64,7,0,70,8,9,1,7,8,0,0,0,0,0,0,0
1992,0,0,48789.0,0,0,1347235200,94,351,16,156,7,5,145,1,6,4,7,6,0,0,0,0,0,0,0
1977,0,0,37774.0,2,0,1346630400,28,173,8,107,7,2,176,4,7,2,3,9,1,0,0,0,0,1,1
